Id;V0;V1;V2
1426;51;478;779
1427;223;903;1595
1428;578;1276;1565
1429;236;780;1054
1430;124;449;781
1431;481;1309;1451
1432;304;1210;1211
1433;217;782;1210
1434;304;1211;1387
1435;50;543;1471
1436;11;1435;1445
1437;11;1318;1435
1438;483;785;1197
1439;332;785;825
1440;234;786;1301
1441;446;831;1301
1442;427;821;1513
1443;227;787;1512
1444;218;442;1019
1445;216;503;1398
1446;150;678;1545
1447;150;789;1545
1448;111;790;1293
1449;790;1475;1477
1450;88;1149;1460
1451;297;609;1149
1452;81;792;1462
1453;250;792;1462
1454;431;916;1043
1455;151;793;1517
1456;186;410;1529
1457;186;526;794
1458;278;601;795
1459;167;601;795
1460;44;403;796
1461;403;521;796
1462;229;731;943
1463;229;797;943
1464;276;602;798
1465;157;602;798
1466;65;494;919
1467;373;964;1299
1468;245;599;800
1469;110;599;800
1470;340;801;1314
1471;85;1270;1578
1472;340;676;802
1473;676;802;1327
1474;153;485;1365
1475;153;803;1365
1476;389;1419;1505
1477;77;804;1505
1478;433;505;805
1479;231;758;1531
1480;476;936;1490
1481;184;412;806
1482;640;738;807
1483;176;640;807
1484;257;882;1046
1485;255;980;981
1486;355;809;1337
1487;373;975;1431
1488;356;810;1339
1489;144;1248;1338
1490;243;567;811
1491;308;811;845
1492;237;812;1630
1493;705;1037;1630
1494;401;813;1521
1495;429;963;998
1496;234;786;814
1497;371;786;814
1498;667;1160;1465
1499;116;1160;1465
1500;79;763;917
1501;79;816;917
