Id;X;Y
170;1.912105021337907e+00;2.781978201831695e-01
171;9.121050213379069e-01;2.781978201831695e-01
172;1.791528422024653e+00;7.238892110123266e-01
173;7.916878157143976e-01;7.239689078571988e-01
174;1.208312184285602e+00;2.760310921428012e-01
175;1.756991788156097e+00;2.052203575498257e-01
176;9.345238095238094e-01;4.375000000000000e-01
177;1.934523809523810e+00;4.375000000000000e-01
178;1.437500000000000e+00;9.345238095238095e-01
179;4.375000000000000e-01;9.345238095238095e-01
180;3.725616989755203e-01;6.651895248862173e-01
181;1.228780007469370e+00;4.707886080262184e-01
182;1.562500000000000e+00;6.504899166751489e-02
183;1.535876559180053e+00;1.936667353972301e-01
184;6.536271996350887e-02;5.625000000000000e-01
185;1.934836256037958e+00;5.625000000000000e-01
186;9.348362560379583e-01;5.625000000000000e-01
187;4.566467989870550e-01;8.277247094351965e-01
188;1.187500000000000e+00;9.355758238725953e-01
189;1.875000000000000e-01;9.355758238725954e-01
190;6.169761231634859e-01;6.939779188977889e-01
191;1.668125468161864e+00;6.620165447127311e-01
192;1.591214726631393e+00;5.046847442680776e-01
193;1.657070842211777e+00;3.716919462201331e-01
194;1.099887623675883e+00;5.158691954613792e-01
195;6.226854751147515e-01;7.827911461419014e-01
196;3.305695598137626e-01;7.901697871282585e-01
197;5.865305325818898e-01;5.101085479043448e-01
198;1.784593528938590e+00;3.528899222770644e-01
199;1.333342556005071e+00;7.852883844306067e-01
200;1.473142764552672e+00;8.025275974542218e-01
201;6.622701297028378e-01;2.177663989757395e-01
202;1.354166666666667e-01;2.591702279202279e-01
203;1.618446586095469e+00;7.787427777360921e-01
204;0.000000000000000e+00;3.125000000000000e-01
205;2.094429575680048e-01;3.936361846162499e-01
206;1.836666296419157e+00;6.079174071616860e-01
207;8.366662964191570e-01;6.079174071616860e-01
208;1.382345493622269e+00;2.932011385826609e-01
209;1.584728426143878e+00;6.750527051354311e-01
210;6.875000000000000e-01;1.000000000000000e+00
211;1.679307195864835e+00;5.487309788847985e-01
212;2.142615554505040e-01;6.492551722020035e-01
213;1.270189535060414e+00;1.761199671037663e-01
214;1.273929089277619e+00;8.305098362488124e-02
215;1.411267369376766e+00;1.819648081701025e-01
216;0.000000000000000e+00;4.375000000000000e-01
217;1.591314051301623e+00;9.221993420845613e-01
218;1.670498916052510e+00;2.033126396216698e-01
219;7.731537126068377e-02;4.062500000000000e-01
220;3.427725432967068e-01;4.879566233699599e-01
221;1.264149315830164e+00;5.656278299055975e-01
222;1.687500000000000e+00;1.000000000000000e+00
223;1.487419574711613e+00;4.109326983670510e-01
224;1.464918602907862e+00;3.302016652848865e-01
225;3.550792513951871e-01;3.331953632609953e-01
226;1.000000000000000e+00;6.875000000000000e-01
227;1.822415656691433e+00;9.366843795273476e-01
228;4.462473953896857e-01;2.887834789342508e-01
229;4.747801464819794e-01;4.173860520301270e-01
230;8.229836475148948e-01;4.443292349237342e-01
231;7.322605135514757e-01;8.199240278289671e-01
232;6.756431877205955e-01;5.468989748126787e-01
233;1.968419507215863e-01;5.194573482612496e-01
234;1.438841744042993e+00;5.521064586881492e-01
235;1.733131836119601e+00;8.184975899431328e-01
236;3.285590277777778e-01;9.345238095238095e-01
237;1.312500000000000e+00;1.000000000000000e+00
238;8.125000000000000e-01;1.000000000000000e+00
239;4.198917601920009e-01;5.134893045331258e-01
240;1.077790870121301e+00;7.332372058804686e-01
241;5.232405503206691e-01;2.595791787880157e-01
242;1.687500000000000e+00;0.000000000000000e+00
243;1.656743879051833e+00;7.568283905351395e-02
244;1.000000000000000e+00;4.375000000000000e-01
245;1.529988217594963e+00;2.870816782138715e-01
246;1.327457955816715e+00;3.523593387973509e-01
247;9.375000000000000e-01;1.000000000000000e+00
248;2.000000000000000e+00;9.375000000000000e-01
249;1.535068258031256e+00;6.159716869613687e-01
250;1.081152011309641e+00;3.810540226192824e-01
251;1.000000000000000e+00;3.125000000000000e-01
252;1.987510870015086e-01;3.025185951894431e-01
253;5.625000000000000e-01;1.000000000000000e+00
254;6.005390654136388e-01;9.228110509230952e-01
255;1.437500000000000e+00;0.000000000000000e+00
256;1.399460934586361e+00;7.718894907690473e-02
257;6.411254848194414e-01;7.704872765442942e-02
258;3.357233162523242e-01;1.855113224530532e-01
259;6.730653396610877e-01;6.393887462324165e-01
260;1.605655360856292e+00;4.290336397189195e-01
261;3.109669872340630e-01;6.240019765311626e-01
262;6.216816681458646e-01;1.559437559156827e-01
263;1.861746651785714e+00;4.481956845238095e-01
264;5.432429670607106e-01;6.785527038440060e-01
265;4.754371679695679e-01;7.103946803120881e-01
266;7.501324890749672e-02;3.043839897335739e-01
267;1.217080700515359e+00;7.228502976262343e-01
268;1.143060479718629e+00;7.672689481666025e-01
269;1.327246227709191e+00;9.266470091122869e-01
270;1.000000000000000e+00;5.625000000000000e-01
271;5.358146975860403e-01;5.688321463205916e-01
272;3.115271739500156e-01;3.982137365971444e-01
